type;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
part;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
material;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
position;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
paper;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
system;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
thing;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
layer;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
resistance;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
base;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
metal;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
snow;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
mind;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
order;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
truth;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
law;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
course;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
way;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
floor;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
matter;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
expression;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
food;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
condition;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
stone;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
skin;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
line;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
substance;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
reality;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
word;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
rock;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
grain;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
ground;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
power;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
life;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
wood;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;zestkiy;
impression;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;;
state;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;;
idea;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;;
path;firm;hard;solid;tough;fest;hart;schwer;prochniy;tverdiy;;
case;firm;hard;solid;tough;fest;hart;schwer;prochniy;;zestkiy;
man;firm;hard;solid;tough;fest;hart;schwer;prochniy;;zestkiy;
road;firm;hard;solid;tough;fest;hart;schwer;prochniy;;zestkiy;
body;firm;hard;solid;tough;fest;hart;schwer;prochniy;;zestkiy;
